Title,Address,Descripcion,Precio,Tamaño,Latitud,Longitud
OPORTUNIDAD VENTA de TERRENO CONTADO o CRÉDITO,Xalapa,TERRENO en VENTA URBANIZADOSuperficie - 243 m2Venta - $486;000Contado efectivo: $ 1;800 m2Crédito a 48 meses: $ 2;000 M2 (enganche 40%)16 lotes disponibles de diferentes medidas:243 (2); 260 (2); 295 (2); 359 (1); 376 (3); 400 (3); 451 (3)...,$ 486;000,243 m²,19.5388623,-96.912814
Terreno plano sobre autopista 57D ,Km 29 Autopista 57D||Montenegro; Querétaro,Terrreno ideal para estacion de servicio; tienda de conveniencia; hotel y restaurante.7.74 ha con Certificado Parcelario. Precio a negociar.Kilometro 29 hacia SLP,$800,77400 m²,20.767464,-100.4013092
Terreno en Venta; La Paz; Baja California Sur,Cerrada del Jade||Pedregal del Cortes; La Paz,.,US$ 145;850,817 m²,24.17226,-110.28991
Terreno habitacional en Venta; en Zazil Ha; Playa del Carmen,Zazil Ha; Solidaridad,Terreno en venta en Playa del Carmen perfectamente ubicado en el centro de la ciudad.Gran oportunidad de inversion garantizada y respaldada por escrituras al di...,$ 3;500;000,220 m²,-87.072861,20.639214
TERRENO EN BUENA ZONA PARA JARDÍN DE EVENTOS,Cuautlixco; Cuautla,"CLAVE: 1C686	JARDÍN DE EVENTOS200 m²de Terreno60 m²de Construcción$480;000 (Cuatrocientos Ochenta Mil Pesos 00/100 M.N)Características:•	2 Baños•	Estacionamient...",$ 480;000,200 m²,18.83948,-98.93541
REMATO EXCELENTE TERRENO EN FRACCIONAMIENTO; VISTA PANORAMICA; SALIDA A PRESA,Fraccionamiento presa Escondida||El Carmen; Tepeji del Río de Ocampo,GRAN OPORTUNIDAD DE INVERSION!!!Remato terreno en fraccionamiento; con planos arquitectónicos; de ingeniería; estudio de terreno y comienzo de construcción de zapatas y obra negra para alberca.En la mejor zona del fraccionamiento Presa Esco...,$ 1;090;000,815 m²,19.90441,-99.34881
TERRENO EN VENTA NUEVO MEXICO ZAPOPAN JALISCO,México; Zapopan; Calle Atotonilco 49||Nuevo México; Zapopan,EXCELENTE TERRENO EN VENTA UBICADO EN LA COLONIA NUEVO MÉXICO EN ZAPOPANA CUADRA Y MEDIA DE AV. TESISTAN Y CAMINO ANTIGUO A TESISTANTERRENO 960M220 FRENTE X 48 DE FONDO; TERRENO REGULAR$ 5;000 pesos m2EL TERRENO CUENTA CON EXCELENTE UBICACI...,$ 4;800;000,960 m²,20.75889,-103.43762
Terrenos frente al canal en Puerto Aventuras ,Puerto Aventuras; Puerto Aventuras,Fraccionamiento residencial puerto aventuras beach; marina & golf course Todos los terrenos en ésta nueva sección tienen superficies desde 553.00 hasta 1;267....,US$ 442;500,750 m²,-87.237816,20.493938
Terreno en Venta en Fracc. Colinas del Saltito Durango,Colinas del Saltito; Durango,Terreno en Venta en Fracc. Colinas del Saltito Durango261.55 m2 de superficie; con servicios; sin adeduos; ni gravamen. $3;500 x m2. Ubicado en privada. Previa...,$ 915;425,262 m²,24.01053,-104.70294
VENTA DETERRENO EN LA COL. DEL VALLE,Del Valle; Benito Juárez,Espetacular propiedad propio para inversión;posee un terreno de 398.10 m2 Ideal para desarrolladores. Con uso de suelo H4/20,$ 21;509;000,398 m²,19.39213936,-99.17007126
Terreno Campestre en VENTA; El Picacho; AGS. TTV 269945,Sin Nombre Lote 7||El Picacho; Aguascalientes,Terreno campestre en venta; con hermosa vista panoramica muy cerca del picacho; ideal para casa de campo y disfrutar de la naturaleza a solo 15 minutos de aguascalientes; con servicios de luz y agua . Lupita navarrete,$ 435;000,1017 m²,21.90954,-102.26295
TERRENO EN VENTA,Playa Diamante; Acapulco de Juárez,**EXCELENTE TERRENO URBANO HABITACIONAL EN FRAC. PUNTA DIAMANTE**SE ENCUENTRA EN ZONA TURÍSTICA EXCLUSIVA; HABITACIONAL DE PRIMER ORDEN**CON CASETA DE SEGURIDAD.**VIALIDADES INTERNAS EN CONCRETO.**TODOS LOS SERVICIOS.**IDEAL PARA FRACCIONAM...,$ 20;614;000,14729 m²,16.81527,-99.81955
Terreno en venta enSian Ka An,Tulum Centro; Tulum,Terreno frente al mar en sian ka an tulum q. Roo Se encuentra ubicado dentro de laBiosfera de sian ka'an aproximadamente 30 minutos al sur de Tulum en la Rivi...,US$ 1;800;000,41354 m²,-87.441902,19.860373
ULTIMOS TERRENOS EN EXCLUSIVA ZONA RESIDENCIAL ,México; Cuautitlán Izcalli; Claustros de San Miguel||Claustros de San Miguel; Cuautitlán Izcalli,?Terreno de 120 m2 en exclusiva zona de cuautitlan izcalli con caseta de vigilancia las 24 horas aprovecha estos últimos terrenos y construye la casa de tus sueños y vive tranquilo con todos los servicios y centros comerciales a la mano,$ 680;000,120 m²,19.69278,-99.2259
Terreno Mixto en Venta Frente a Playacar; Playa del Carmen ,Centro; Playa del Carmen,Lote mixto comercial; multifamiliar para desarrolladores en playa del carmen; (colinda entre el centro maya y liverpool).-Con 100 metros de frente a carretera...,NA,NA,-87.6961,20.2661
Terreno en Venta Cerro del Tesoro,Colón # 4928||Cerro Del Tesoro; Tlaquepaque,Terreno ubicadísimo sobre avenida colón antes de llegar a periférico.,$ 85;446;900,15535 m²,20.61412899,-103.3949552
Terreno En Pozos,Villa de Pozos; San Luis Potosí,Excelente oportunidad. Terreno ya bardeado Con escrituras Con servicios de luz En privada,$ 710;000,400 m²,22.10684,-100.89045
Terreno en Venta en Viborillas,- -||Viborillas; Colón,Nocnok ID: MX19-GW0502. Venta de terreno urbanizado en Sta. María Nativitas cerca del puente a Viborillas. ||Su extensión es de 400 metros cuadrados; 10 metros d...,$ 430;000,400 m²,20.6078,-100.18595
TERRENO EN VENTA QUERETAO; ZIBATA,AV. VALLE DE ACANTHA791||Zibatá; El Marqués,TERRENO EN PRIVADA ACANTHA. ENTRANDO A PRIVADA EN AVENIDA PRINCIPAL; A SOLO UN PAR DE LOTES DE VISITAS. PRIVADA CON PALAPADE USOS MULTIPLES.,$ 1;450;000,240 m²,20.6864635,-100.3352272
Venta de terreno en La Vista Country Club;invierte en la zona de mejor plusvalía,Country Club La Vista; San Andrés Cholula,Terreno en Venta en La Vista Country Club; hermoso terreno con el mejor precio de la Vista Country Club Las imagenes son ilustrativas T: 475 m2 Precio: USD450;3...,$ 8;555;700,475 m²,19.03962,-98.33717
TERRENO AMPLIO EN VENTA CERCA DE CHIPILO,CACALOTLA 7; SAN PEDRO AHUATEMPA; SANTA ISABEL CHOLULA||San Pablo Ahuatempa; Santa Isabel Cholula,AMPLIO TERRENO EN FORMA IRREGULAR CON UN FONDO EN SU LADO MÁS LARGO DE 64.35 M CERCA DE CHIPILO,$ 928;200,1547 m²,18.98818613,-98.34824486
Terreno en Venta en el Barro - Zona Carretera Nacional (LGJC),El Barro; Santiago,Terreno en Venta en el Barro; Campestre (LJGC)||||||Oportunidad de precio por las dimensiones del terreno||||Cercano ala carretera; increíbles vistas ||||Terreno con h...,$ 1;600;000,2000 m²,25.5228786,-100.2070127
Lote con accion Yucatan Country Club en privada,Yucatán Country Club; Mérida,Preciosa vista al hoyo 13 y al lago; este lote en privada exclusiva ; en el Yucatan Country Club. EasyBroker ID: EB-CU9551,$ 8;500;000,1000 m²,21.1189236,-89.6034044
Alenalotes en privada con amenidades,San Ignacio; Progreso,"•	219 lotes que van de los 305.8070 m2 hasta 1;304.3715 m2||•	Áreas comunes (Incluye parques; vialidades; banquetas y jardines en vialidades) 67;038.0227 m2||Las áreas comunes se dividen en:||•	Parques y zonas de estacionamientos 25;330.1908 m...",$748,755 m²,21.15716,-89.64826
Temozon norte 25 x 50 terreno en venta,Temozon Norte; Mérida,Excelente propiedad en la zona residencial de Temozon Norte con orientación sur norte ; ideal para vivienda o desarrollar town housescercanoa The Harbor Via Montejo; Plaza la Isla El terreno esta en una zona con alta proyección de plusv...,$ 3;000;000,1250 m²,20.99788,-89.61901
TERRENO COUNTRY CLUB,Yucatán Country Club; Mérida,BARRA PERIMETRAL DE 3 M DE ALTO MAS 1 M DE ELECTRIFICADO||SERVICIOS OCULTOS : TELEFONIA DE FIBRA OPTICA||SEGURIDAD 24 HORAS ||CONSTRUCCION LIBRE MANTENIMIENTO ACABADOS EXTERNOS ||*SE VENDE CON ACCION AL CLUB DE GOLF. EasyBroker ID: EB-DS3109,$ 8;000;000,905 m²,21.12102159,-89.59913045
KANASIN CASA ESTILO HACIENDA,Kanasin; Kanasín,CASA ESTILO HACIENDA ||2 RECAMARAS ||1 BAÑO||SALA-COMERDOR-COCINA||SALA DE ESTAR ||PALAPA CON COCINA ||PISCINA||2 BAÑOS PARA LA PISCINA||1 CUERTO DE SERVICIO ||||AMPLIO TERRENO. EasyBroker ID: EB-DS5007,$ 2;000;000,6400 m²,20.9441486,-89.5639119
KikteilSierra Papacal 11;520.19 m² en venta $105m2,Kiktel; Mérida,En Dzidzilché Yucatán; al Norte de Mérida;||a un costado de Phula Residencial ||||11;520.19 m²||Precio de Venta:$105 m2||Ubicación: Carretera progreso – Sierra Papacal. EasyBroker ID: EB-DE6512,$105,11519 m²,20.99788,-89.61901
FINCA SAN FAUSTO,Maxcanu; Maxcanú,FINCA URBANA||FINCA JUNTO AL MAR; CERCA DE ATRACCIONES TURISTICAS COMO LA RESERVA ECOLOGICA EL PALMAR; RIA CELESTUM; RESERVA DELA BIOSFERA DE CELESTUM Y HUNUCMA. EasyBroker ID: EB-DT8826,$3,2100000 m²,20.5870954,-90.004663
Zendera Lotes Residenciales,Cholul; Mérida,ZENDERA es una privada de 224 lotes residenciales que van desde 250 a 600 m2 distribuidos en pequeños clusters; cuenta con un sendero arbolado de más de 400m donde estarán sus increíbles amenidades y un sistema de seguridad de vanguardia....,$ 2;590,310 m²,21.0424858,-89.5568382
Temozon norte ideal para desarrollador venta,Temozon Norte; Mérida,Excelente para desarrollar vivienda a pocos metros de la Universidad Marista; Temozon 39 ; cercano a periférico ; con buena plusvalia; ||||||El terreno tiene una superficie total de 3;519 m2 con 33 m de frente y 106 m de fondo con un precio to...,$ 2;300,3519 m²,20.99788,-89.61901
Terreno - San Mateo Otzacatipan,San Mateo Otzacatipan; Toluca,TERRENO COMERCIAL||EX HACIENDA SAN JOSE||$ 4;800 M2||||||Terreno con Uso de Suelo H300 y CRU.||5;000 m2||Doble frente||||Rodeado de Residenciales.||Plano||Escriturado||Entr...,$ 4;300,5000 m²,19.3442975,-99.6117423
Terrenos en Venta en La Boca,La Boca; Santiago,"Terreno totalmente plano; cuenta con todos los servicios para hacer contrato; la parte de atrás colinda con el río san juan; muy cerca del pueblito Congregación la boca.||			||		||			||			Terreno totalmente plano; cuenta con todos los servici...",$350,58000 m²,25.44203,-100.16095
Terrenos en Venta en El Uro,El Uro; Monterrey,"EXCELENTE TERRENO IDEAL PARA INVERSIONISTA O CONSTRUCTOR PARA INMOBILIARIA ;FRENTE A CARRETERA Y FACILES VIAS DE ACCESO ||			||		||			||			EXCELENTE TERRENO IDEAL PARA INVERSIONISTA O CONSTRUCTOR PARA INMOBILIARIA ;FRENTE A CARRETERA Y FACILE...",$ 87;500;000,12500 m²,25.54784,-100.22166
Terrenos en Venta en Mirasol,Mirasol; Guadalupe,"Bardeado.||			||		||			||			terreno bardeado con algo de construcción y techo de lámina; se vende como terreno; excelentemente ubicado a dos cuadras de Eloy Cavazos.tiene contrato con telcel una antena se encuentra en el terreno con una renta...",$ 3;500;000,810 m²,25.66655,-100.23333
Terrenos en Venta en 20 de Noviembre,20 de Noviembre; Guadalupe,"TERRENO PLANO; INMEJORABLE UBICACIÓN; RÁPIDA SALIDA A LA AVE. BENITO JUAREZ; MUY CÉNTRICO; RODEADO DE IMPORTANTES TIENDAS DE CONVENIENCIA ASÍ COMO ESCUELA PUBLICA.40-TV-2946||||			||		||			||			TERRENO PLANO; INMEJORABLE UBICACIÓN; RÁPIDA SALI...",$ 45;000;000,15000 m²,25.66655,-100.23333
SE VENDE TERRENO EN METEPEC SAN SEBASTIÁN $2;500 MT2,Metepec,Se vende hermoso terreno en San Sebastián Metepec 2200 mts.2 $2;500 el mt2 escriturado propiedad privada PLANORECTÁNGULARLIMPIOUSO DE SUELO HABITACIONAL Y COMER...,$ 2;500,2200 m²,19.2627235,-99.6024668
Terrenos en Venta en San Nicolás de los Garza Centro,San Nicolás de los Garza Centro; San Nicolás de los Garza,"terreno  plano; limpio sin escombro  ideal para cancha de fútbol; excelente ubicación vías rápidas   ||			||		||			||			ideal para cancha de fútbol; plano; tiene luz",$ 24;000;000,2924 m²,25.74701,-100.29475
Oportunidad Terrenos Baratos Cerca A La Rumorosa En Pagos,La Rumorosa; Tecate,Oportunidad Terrenos Baratos Cerca A La Rumorosa En Pagos Se Venden Terrenos De Diferentes Medidas Cerca A La Rumorosa;Ahi Nieva Y Hay Pinos;Con Hermosos PaisajesPor Carretera Libre De Tecate A Mexicali. Precio Depende De La UbicacionPrecio Es De $2 Dlls Por Metro CuadradoInformes Llamar A Cell 6Ver Datos Y 6Ver Datos,NA,2000 m²,32.5685837,-116.6346969
Terreno En Pozos,Villa de Pozos; San Luis Potosí,Excelente oportunidad. Terreno ya bardeado Con escrituras Con servicios de luz En privada,$ 710;000,400 m²,22.10684,-100.89045
Terreno en Venta en Viborillas,- -||Viborillas; Colón,Nocnok ID: MX19-GW0502. Venta de terreno urbanizado en Sta. María Nativitas cerca del puente a Viborillas. ||Su extensión es de 400 metros cuadrados; 10 metros d...,$ 430;000,400 m²,20.6078,-100.18595
Terreno Comercial y Habitacional en Venta en Temixco (Valle Verde),Brisas; Temixco,Precioso terreno con 70 mts de frente sobre la autopista del Sol a la altura del condominio Las Brisas en Cuernavaca (km 102; ubicado a 6 kms del Centro Cuernav...,$ 2;000,12403 m²,18.8617085,-99.2250939
TERRENO EN VENTA EN EJIDO LA PERLA;TORREÓN,La Perla; Torreón,Ejido a 5 minutos del cuartel Militar por Carretera Torreon Matamoros; superficie total de 22;000 mts.; frente 148.26 frente; fondo 148.26 mts.;lateral derech...,$ 28;600;000,22000 m²,25.54466,-103.44057
Terrenos en Venta en 20 de Noviembre,20 de Noviembre; Guadalupe,"TERRENO PLANO; INMEJORABLE UBICACIÓN; RÁPIDA SALIDA A LA AVE. BENITO JUAREZ; MUY CÉNTRICO; RODEADO DE IMPORTANTES TIENDAS DE CONVENIENCIA ASÍ COMO ESCUELA PUBLICA.40-TV-2946||||			||		||			||			TERRENO PLANO; INMEJORABLE UBICACIÓN; RÁPIDA SALI...",$ 45;000;000,15000 m²,25.66655,-100.23333
Terrenos en Venta en La Boca,La Boca; Santiago,"Terreno totalmente plano; cuenta con todos los servicios para hacer contrato; la parte de atrás colinda con el río san juan; muy cerca del pueblito Congregación la boca.||			||		||			||			Terreno totalmente plano; cuenta con todos los servici...",$350,58000 m²,25.44203,-100.16095
Terrenos en Venta en El Uro,El Uro; Monterrey,"EXCELENTE TERRENO IDEAL PARA INVERSIONISTA O CONSTRUCTOR PARA INMOBILIARIA ;FRENTE A CARRETERA Y FACILES VIAS DE ACCESO ||			||		||			||			EXCELENTE TERRENO IDEAL PARA INVERSIONISTA O CONSTRUCTOR PARA INMOBILIARIA ;FRENTE A CARRETERA Y FACILE...",$ 87;500;000,12500 m²,25.54784,-100.22166
Terreno - La Esperanza MAHAHUAL 107 HECTAREAS,Bacalar; Bacalar,TERRENOCONDICIONES PLANAS LISTO PARA ESCRITURAR,$ 12;000;000,NA,20.7859662,-87.9831612
SE VENDE TERRENO EN METEPEC SAN SEBASTIÁN $2;500 MT2,Metepec,Se vende hermoso terreno en San Sebastián Metepec 2200 mts.2 $2;500 el mt2 escriturado propiedad privada PLANORECTÁNGULARLIMPIOUSO DE SUELO HABITACIONAL Y COMER...,$ 2;500,2200 m²,19.2627235,-99.6024668
Terrenos en Venta en San Nicolás de los Garza Centro,San Nicolás de los Garza Centro; San Nicolás de los Garza,"terreno  plano; limpio sin escombro  ideal para cancha de fútbol; excelente ubicación vías rápidas   ||			||		||			||			ideal para cancha de fútbol; plano; tiene luz",$ 24;000;000,2924 m²,25.74701,-100.29475
Terrenos en Venta en San Nicolás de los Garza Centro,San Nicolás de los Garza Centro; San Nicolás de los Garza,"Terreno en venta  en esquina;  a tres cuadras de presidencia municipal; cerca de la Ruta 01||			||		||			||			terreno plano. oficina 80m2 en 2do piso; portón en la esquina; bardeado",$ 5;400;000,900 m²,25.74701,-100.29475
Terrenos en Venta en El Vergel,El Vergel 1; Allende,"40-TV-2417Terreno en exclusivo desarrollo con campo de Golf en carretera nacional.||			||		||			||			Hermosa Vista panorámica ideal para casa de campo en un lugar completamente seguro y privado junto a la carretera Nacional; en Allende.",$ 1;842;750,1053 m²,25.28131,-100.01827
Terrenos en Venta en Bosques de La Silla,Bosques de La Silla; Juárez,"Terreno cerca de Carretera San Mateo||||||||			||		||			||			Terreno de 10 mil metros; ubicado cerca de la carretera San Mateo; semi plano; cruce de arroyo.semi planobardeado",$ 2;000;000,10000 m²,25.54907,-100.12843
Terrenos en Venta en Cadereyta Jiménez Centro,Cadereyta Jimenez Centro; Cadereyta Jiménez,"40-TV-1702 Terreno en Cadereyta Jimenez; El precio es de $260m2.CAMBIO DE PRECIO||||||			||		||			||			40-TV-1702 Terreno plano  en Cadereyta; a 800 km de la Carretera a Allende; colinda con camino a San Bartolo.EL PRECIO CAMBIO; PERO SE VENDE...",$ 3;958;500,15225 m²,25.59057,-100.00109
Terrenos en Venta en Valle Alto,Valle Alto; Monterrey,"TERRENO EN LOS MANANTIALES FRACIONAMIENTO PRIVADO EN CARRETERA NACIONAL 40-TV-2356||			||		||			||			TERRENO EN LOS MANANTIALES EN CARRETERA NACIONAL MUY CERCA DE EL HEB DE VALLE ALTO",$ 4;020;372,446 m²,25.57717,-100.27054
Terrenos en Venta en Residencial Guadalupe,Residencial Guadalupe; Guadalupe,"TERRENO EN VENTA EN GUADALUPE; NUEVO LEON 40-TV-2496TERRENO EN VENTA DE 7;500 METROS CON USO DE SUELO MIXTO EN GUADALUPE; NUEVO LEON||			||		||			||			Excelente terreno para comercio; industria y/o habitacional.  Cerca de Avenidas transitadas...",$ 14;858;000,7429 m²,25.65944,-100.18172
Terrenos en Venta en Los Cristales,Los Cristales; Monterrey,"TERRENO EN VENTA ORILLA DE CARRETERA EN LOS CRISTALES||			||		||			||			LOS CRISTALES (Uro)TERRENO COMERCIAL A 10 MINUTOS DE MONTERREY FRENTE A CARRETERA EN LOS CRISTALES; CERCA DE PLAZAS COMERCIALES YCULB CAMPESTRE LAS MISIONES; TERRENO PLAN...",$ 47;250;000,7500 m²,25.77503,-100.39409
Terrenos en Venta en Bosque Residencial,Santiago Centro; Santiago,"Hermoso terreno Residencial rodeado de sierras bella vistaen el Barrial Santiago Nuevo León||||||			||		||			||			 Terreno para construir tu casa en Fraccionamiento Residencial privado; cuenta con todos los serviciosPRECIOS DE CONTADOCambio de...",$ 1;652;063,373 m²,25.47299,-100.185
Terrenos en Venta en Cadereyta Jiménez Centro,Cadereyta Jimenez Centro; Cadereyta Jiménez,"Terreno  en Venta Cadereyta N.L. totalmente plano 40-TV-1534    * Precio $200m2||			||		||			||			Terreno totalmente plano; industrial; 25 hectáreas; ubicado en el km 4.5 de Carretera Cadereyta- Reynosa; teniendo 135m2 de frente a la carreter...",$200,250000 m²,25.59057,-100.00109
Terrenos en Venta en Atongo de Allende,Atongo de Allende; Allende,"Terreno completamente plano; a orilla de carretera 40-TV-1765MGE||			||		||			||			Terreno plano.",$ 750;000,2640 m²,25.2855,-100.03174
Terrenos en Venta en Las Trancas,Las Trancas; Cadereyta Jiménez,"40-TV-2719VENTA DE TERRENO CAMPESTRE EN CADEREYTA TERRENO EN VENTA EN COLONIA LAS CAROLINAS CADEREYTAPRECIO: $230 / m2||||			||		||			||			VENTA DE TERRENO CAMPESTRE EN LAS CAROLINASPRECIO $230 POR METRO CUADRADO=$460;000 PESOS POR LOS 2;000m2...",$230,2000 m²,25.5,-99.91667
TERRENO EN VENTA,Playa Diamante; Acapulco de Juárez,**EXCELENTE TERRENO URBANO HABITACIONAL EN FRAC. PUNTA DIAMANTE**SE ENCUENTRA EN ZONA TURÍSTICA EXCLUSIVA; HABITACIONAL DE PRIMER ORDEN**CON CASETA DE SEGURIDAD.**VIALIDADES INTERNAS EN CONCRETO.**TODOS LOS SERVICIOS.**IDEAL PARA FRACCIONAM...,$ 20;614;000,14729 m²,16.81527,-99.81955
Terreno Campestre en VENTA; El Picacho; AGS. TTV 269945,Sin Nombre Lote 7||El Picacho; Aguascalientes,Terreno campestre en venta; con hermosa vista panoramica muy cerca del picacho; ideal para casa de campo y disfrutar de la naturaleza a solo 15 minutos de aguascalientes; con servicios de luz y agua . Lupita navarrete,$ 435;000,1017 m²,21.90954,-102.26295
VENTA DETERRENO EN LA COL. DEL VALLE,Del Valle; Benito Juárez,Espetacular propiedad propio para inversión;posee un terreno de 398.10 m2 Ideal para desarrolladores. Con uso de suelo H4/20,$ 21;509;000,398 m²,19.39213936,-99.17007126
Terreno 312 M² en Colonia Panamericano Tijuana B.C. Aproveche,México; 22647; Tijuana; Panamericano; Avenida Ecuador 9709||Panamericano; Tijuana,Aproveche esta oportunidad de adquirir este terreno en tijuana; en la colonia panamericano sobre calle ecuador! Ideal para construir una casa con todos los serv...,$ 700;000,312 m²,32.4598222,-117.0052401
Terreno de 1;250 M2 con Acceso a La Playa. 35% Enganche. Financiamiento 5 Años,Bahia Terranova II||San José del Cabo; Los Cabos,Terreno en esquina dentro del fraccionamiento de bahía terranova. Topografía plana y listo para construir. Acceso a la playa.Enganche 35%Financiamiento 5 años,$ 650;000,1250 m²,23.05227,-109.70385
venta de terreno en San patricio,San Patricio; Saltillo,Excelente ubicacion cerca de plaza patio; de fresh market; de escuela el vivir14 metros de frente por 25 metros de fondo,$ 1;750;000,350 m²,25.46408,-100.95894
Terreno en Venta en Fraccionamiento Santo Tomas,San Luis Potosí Centro||San Luis Potosí Centro; San Luis Potosí,Terreno en Venta en Fraccionamiento Santo Tomas 0,NA,90 m²,22.1556025,-100.9724743
Terreno en Venta Cerro del Tesoro,Colón # 4928||Cerro Del Tesoro; Tlaquepaque,Terreno ubicadísimo sobre avenida colón antes de llegar a periférico.,$ 85;446;900,15535 m²,20.61412899,-103.3949552
TERRENO EN VENTA NUEVO MEXICO ZAPOPAN JALISCO,México; Zapopan; Calle Atotonilco 49||Nuevo México; Zapopan,EXCELENTE TERRENO EN VENTA UBICADO EN LA COLONIA NUEVO MÉXICO EN ZAPOPANA CUADRA Y MEDIA DE AV. TESISTAN Y CAMINO ANTIGUO A TESISTANTERRENO 960M220 FRENTE X 48 DE FONDO; TERRENO REGULAR$ 5;000 pesos m2EL TERRENO CUENTA CON EXCELENTE UBICACI...,$ 4;800;000,960 m²,20.75889,-103.43762
KANASIN CASA ESTILO HACIENDA,Kanasin; Kanasín,CASA ESTILO HACIENDA ||2 RECAMARAS ||1 BAÑO||SALA-COMERDOR-COCINA||SALA DE ESTAR ||PALAPA CON COCINA ||PISCINA||2 BAÑOS PARA LA PISCINA||1 CUERTO DE SERVICIO ||||AMPLIO TERRENO. EasyBroker ID: EB-DS5007,$ 2;000;000,6400 m²,20.9441486,-89.5639119
KikteilSierra Papacal 11;520.19 m² en venta $105m2,Kiktel; Mérida,En Dzidzilché Yucatán; al Norte de Mérida;||a un costado de Phula Residencial ||||11;520.19 m²||Precio de Venta:$105 m2||Ubicación: Carretera progreso – Sierra Papacal. EasyBroker ID: EB-DE6512,$105,11519 m²,20.99788,-89.61901
FINCA SAN FAUSTO,Maxcanu; Maxcanú,FINCA URBANA||FINCA JUNTO AL MAR; CERCA DE ATRACCIONES TURISTICAS COMO LA RESERVA ECOLOGICA EL PALMAR; RIA CELESTUM; RESERVA DELA BIOSFERA DE CELESTUM Y HUNUCMA. EasyBroker ID: EB-DT8826,$3,2100000 m²,20.5870954,-90.004663
Zendera Lotes Residenciales,Cholul; Mérida,ZENDERA es una privada de 224 lotes residenciales que van desde 250 a 600 m2 distribuidos en pequeños clusters; cuenta con un sendero arbolado de más de 400m donde estarán sus increíbles amenidades y un sistema de seguridad de vanguardia....,$ 2;590,310 m²,21.0424858,-89.5568382
Lote con accion Yucatan Country Club en privada,Yucatán Country Club; Mérida,Preciosa vista al hoyo 13 y al lago; este lote en privada exclusiva ; en el Yucatan Country Club. EasyBroker ID: EB-CU9551,$ 8;500;000,1000 m²,21.1189236,-89.6034044
Temozon norte 25 x 50 terreno en venta,Temozon Norte; Mérida,Excelente propiedad en la zona residencial de Temozon Norte con orientación sur norte ; ideal para vivienda o desarrollar town housescercanoa The Harbor Via Montejo; Plaza la Isla El terreno esta en una zona con alta proyección de plusv...,$ 3;000;000,1250 m²,20.99788,-89.61901
TERRENO COUNTRY CLUB,Yucatán Country Club; Mérida,BARRA PERIMETRAL DE 3 M DE ALTO MAS 1 M DE ELECTRIFICADO||SERVICIOS OCULTOS : TELEFONIA DE FIBRA OPTICA||SEGURIDAD 24 HORAS ||CONSTRUCCION LIBRE MANTENIMIENTO ACABADOS EXTERNOS ||*SE VENDE CON ACCION AL CLUB DE GOLF. EasyBroker ID: EB-DS3109,$ 8;000;000,905 m²,21.12102159,-89.59913045
Terreno - San Mateo Otzacatipan,San Mateo Otzacatipan; Toluca,TERRENO COMERCIAL||EX HACIENDA SAN JOSE||$ 4;800 M2||||||Terreno con Uso de Suelo H300 y CRU.||5;000 m2||Doble frente||||Rodeado de Residenciales.||Plano||Escriturado||Entr...,$ 4;300,5000 m²,19.3442975,-99.6117423
Alenalotes en privada con amenidades,San Ignacio; Progreso,"•	219 lotes que van de los 305.8070 m2 hasta 1;304.3715 m2||•	Áreas comunes (Incluye parques; vialidades; banquetas y jardines en vialidades) 67;038.0227 m2||Las áreas comunes se dividen en:||•	Parques y zonas de estacionamientos 25;330.1908 m...",$748,755 m²,21.15716,-89.64826
Temozon norte ideal para desarrollador venta,Temozon Norte; Mérida,Excelente para desarrollar vivienda a pocos metros de la Universidad Marista; Temozon 39 ; cercano a periférico ; con buena plusvalia; ||||||El terreno tiene una superficie total de 3;519 m2 con 33 m de frente y 106 m de fondo con un precio to...,$ 2;300,3519 m²,20.99788,-89.61901
Terreno habitacional en Venta; en Zazil Ha; Playa del Carmen,Zazil Ha; Solidaridad,Terreno en venta en Playa del Carmen perfectamente ubicado en el centro de la ciudad.Gran oportunidad de inversion garantizada y respaldada por escrituras al di...,$ 3;500;000,220 m²,-87.072861,20.639214
Terrenos en Venta Junto al Tec,La Mojonera; Zapopan,3 terrenos en venta ubicados dentro de coto con seguridad; a un costado del TEC de Monterrey.||El coto se caracteriza por estar rodeado de naturaleza. Cuenta con...,NA,799 m²,20.71367,-103.44744
Terreno Residencial en Fraccionamiento el CID,Marina El Cid; Mazatlán,Terreno con una de las mejores vistas de Marina El Cid.||||Su ubicación con vista ininterrumpida hacia uno de los canales de navegación más amplios de Marina El C...,US$ 215;000,588 m²,23.203,-106.4122
Playa del CarmenTerreno en Venta Quintana Roo ,Playa del Carmen Centro; Solidaridad,Playa del Carmen Tulum Quintana Roo: Terreno 9953 M2 Un Desarrollo Totalmente Turistico Hotelero; de Unidades Ecológicas y Turísticas; para la recreación Particular; Cuenta conunaCasa Muestra Tipo Campestre; Uso de SueloResidencial; H...,$ 4;000;000,9953 m²,19.5060382,-98.8831503
Terrenoen Playa del Secreto / Solidaridad - HAM-341-Fr*,Playa del Carmen Centro; Solidaridad,TERRENO FRENTE AL MAR con 12 mts de frente....  En fraccionamiento con vigilancia. bello.||Tenemos otro un poco mas grande de 653m2 en $489;000 USD!!!||Preciosa p...,US$ 430;000,618 m²,20.62866,-87.07539
